order_id,order_date,category,product_name,region,unit_price,quantity,total_sales,customer_age,discount_applied,discount_amount,final_sales
1,2023-01-01,Books,Tech Manual,North,31,1,31,37,0.0,0.0,31.0
2,2023-01-01,Books,Fiction Novel,South,44,3,132,22,0.0,0.0,132.0
3,2023-01-01,Home,Bookshelf,West,98,5,490,36,0.0,0.0,490.0
4,2023-01-01,Electronics,Headphones,West,1041,3,3123,38,0.2,624.6,2498.4
5,2023-01-01,Clothing,Jacket,Central,81,2,162,42,0.0,0.0,162.0
6,2023-01-01,Books,Cookbook,South,49,3,147,30,0.0,0.0,147.0
7,2023-01-01,Electronics,Laptop,Central,1944,5,9720,27,0.0,0.0,9720.0
8,2023-01-01,Clothing,Jacket,West,149,4,596,50,0.0,0.0,596.0
9,2023-01-01,Clothing,Sneakers,West,93,5,465,50,0.0,0.0,465.0
10,2023-01-01,Clothing,Jeans,Central,40,3,120,35,0.05,6.0,114.0
11,2023-01-02,Electronics,Smartphone,East,1433,5,7165,33,0.0,0.0,7165.0
12,2023-01-02,Electronics,Smartphone,West,509,4,2036,33,0.0,0.0,2036.0
13,2023-01-02,Electronics,Smart Watch,Central,687,3,2061,40,0.0,0.0,2061.0
14,2023-01-03,Electronics,Headphones,North,1518,4,6072,53,0.0,0.0,6072.0
15,2023-01-04,Home,Bookshelf,South,363,5,1815,21,0.0,0.0,1815.0
16,2023-01-04,Clothing,Jacket,West,68,5,340,61,0.0,0.0,340.0
17,2023-01-04,Clothing,Hat,Central,96,1,96,37,0.0,0.0,96.0
18,2023-01-04,Home,Coffee Maker,South,230,5,1150,41,0.0,0.0,1150.0
19,2023-01-04,Electronics,Smartphone,West,1277,3,3831,61,0.0,0.0,3831.0
20,2023-01-04,Clothing,Jacket,West,36,2,72,63,0.0,0.0,72.0
21,2023-01-04,Electronics,Laptop,West,302,1,302,19,0.05,15.100000000000001,286.9
22,2023-01-04,Home,Lamp,North,212,3,636,48,0.0,0.0,636.0
23,2023-01-04,Home,Vacuum,East,358,4,1432,24,0.05,71.60000000000001,1360.4
24,2023-01-04,Home,Desk Chair,North,86,3,258,70,0.0,0.0,258.0
25,2023-01-04,Books,Tech Manual,Central,32,2,64,49,0.0,0.0,64.0
26,2023-01-04,Home,Bookshelf,Central,309,4,1236,50,0.0,0.0,1236.0
27,2023-01-04,Electronics,Headphones,West,1730,5,8650,50,0.2,1730.0,6920.0
28,2023-01-05,Electronics,Smartphone,South,1225,2,2450,50,0.0,0.0,2450.0
29,2023-01-05,Books,Tech Manual,South,42,4,168,46,0.15,25.2,142.8
30,2023-01-05,Books,Tech Manual,Central,32,5,160,38,0.0,0.0,160.0
31,2023-01-05,Electronics,Smart Watch,West,1122,5,5610,55,0.0,0.0,5610.0
32,2023-01-05,Electronics,Laptop,East,413,4,1652,48,0.0,0.0,1652.0
33,2023-01-05,Home,Bookshelf,North,491,5,2455,50,0.0,0.0,2455.0
34,2023-01-05,Clothing,Jeans,North,64,1,64,28,0.1,6.4,57.6
35,2023-01-05,Clothing,T-Shirt,West,70,5,350,61,0.0,0.0,350.0
36,2023-01-05,Clothing,Hat,Central,197,4,788,46,0.0,0.0,788.0
37,2023-01-05,Clothing,Jeans,East,40,1,40,42,0.1,4.0,36.0
38,2023-01-05,Home,Desk Chair,Central,441,4,1764,56,0.0,0.0,1764.0
39,2023-01-05,Books,Biography,South,48,1,48,34,0.0,0.0,48.0
40,2023-01-05,Books,Cookbook,Central,37,4,148,29,0.0,0.0,148.0
41,2023-01-05,Clothing,Sneakers,East,197,4,788,63,0.0,0.0,788.0
